Serial Number,Question,A,B,C,D,Answer,Answer,Appropriateness,Difficulty,Check,Notes,Overall Topic A,Sub Topic A,Overall Topic B,Sub Topic B,Overall Topic C,Sub Topic C,Overall Topic D,Sub Topic D,Overall Topic E,Sub Topic E,Combined Topics,Combined Sub Topics,Hint,Explanation,,,Old Question,Old A,Old B,Old C,Old D
Q002567,Integrate \(x^3 - 4x^2 + 3x + 8\) with respect to \(x\),\(\frac{x^4}{4}-\frac{4x^3}{3}+\frac{3x^2}{2} +8x +c\),\(\frac{x^4}{4} - \frac{4x^3}{3} + \frac{3x^2}{2} + 8 + C\),\(\frac{x^4}{4} - \frac{4x^3}{3} + 3x^2 + 8x + C\),\(\frac{x^4}{4} - \frac{4x^3}{3} + \frac{3x^3}{3} + 8x^2 + C\),A,A,4,3,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Integrate x^3 - 4x^2 + 3x + 8 with respect to x,x^4/4-4x^3/3+3x^2/2 +8x +c,x^4/4 - 4x^3/3 + 3x^2/2 + 8 + C,x^4/4 - 4x^3/3 + 3x^2 + 8x + C,x^4/4 - 4x^3/3 + 3x^3/3 + 8x^2 + C
Q002568,Evaluate the integral of \((x^2 + 2x + 1\) with respect to \(x\). Which of the following is correct?,\(\int (x^2 + 2x + 1) dx = \frac{1}{3}(x^2 + 2x + 1)^3 + C\),\(\int (x^2 + 2x + 1) dx = -\frac{1}{3}(x^2 + 2x + 1) + C\),\(\int (x^2 + 2x + 1) dx = \frac{1}{2}(x^2 + 2x + 1)+ C\),\(\int (x^2 + 2x + 1)dx = \frac{1}{3}x^3 + x^2 + x + C\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral of (x^2 + 2x + 1 with respect to x. Which of the following is correct?,∫ (x^2 + 2x + 1) dx = (1/3)(x^2 + 2x + 1)^3 + C,∫ (x^2 + 2x + 1) dx = -(1/3)(x^2 + 2x + 1) + C,∫ (x^2 + 2x + 1) dx = (1/2)(x^2 + 2x + 1)+ C,∫ (x^2 + 2x + 1)dx = (1/3)x^3 + x^2 + x + C
Q002569,\(\frac{dN}{dt} = \frac{1}{2} *N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = 2e^{2t^2+\frac{1}{2}t+c}\),\(N(t) = -e^{\frac{1}{4}t^2+\frac{1}{2}t+c}\),\(N(t) = e^{\frac{1}{4}t^2+\frac{1}{2}t+c}\),\(N(t) = e^{-\frac{1}{4}t^2+\frac{1}{2}t+c}\),C,C,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = 1/2 *N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = 2e^(2t^2+1/2t+c),N(t) = -e^(1/4t^2+1/2t+c),N(t) = e^(1/4t^2+1/2t+c),N(t) = e^(-1/4t^2+1/2t+c)
Q002570,\(\frac{dN}{dt} = (\frac{1}{3})N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = 3e^{3t}+c\),\(N(t) = 3e^{-3t}+c\),\(N(t) = e^{[(t^2)+t+c]}\),\(N(t) = e^{[\frac{t^2}{3}+\frac{t}{3}+c]}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = (1/3)N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = 3e^(3t)+c,N(t) = 3e^(-3t)+c,N(t) = e^[(t^2)+t+c],N(t) = e^[(t^2)/3+t/3+c]
Q002571,\(\frac{dN}{dt} = k1 *N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = e^{k1t}+c\),\(N(t) = e^{-k1t}+c\),\(N(t) = e^{[\frac{k1t^2}{2}+k1t+c]}\),\(N(t) = e^{[\frac{-k1t^2}{2}-k1t+c]}\),C,C,8,7,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = k1 *N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = e^(k1t)+c,N(t) = e^(-k1t)+c,N(t) = e^[(k1t^2)/2+k1t+c],N(t) = e^[(-k1t^2)/2-k1t+c]
Q002572,\(\frac{dN}{dt} = k2 *N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = e^{k2t}\),\(N(t) = e^{-k2t}\),\(N(t) = e^{[\frac{k2t^2}{2}+k2t+c]}\),\(N(t) = e^{[\frac{k2t^2}{2}-k2t+c]}\),C,C,8,7,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = k2 *N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = e^(k2t),N(t) = e^(-k2t),N(t) = e^[(k2t^2)/2+k2t+c],N(t) = e^[(k2t^2)/2-k2t+c]
Q002573,\(\frac{dN}{dt} = k3 *Nt\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = e^{[\frac{k3}{2}]}t^2 +c\),\(N(t) = e^{-k3t}\),\(N(t) = k3e^{k3t}\),\(N(t) = k3e^{-k3t}\),A,A,8,7,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = k3 *Nt. Find an expression for N in terms of t. Which of the following is correct?,N(t) = e^[(k3)/2]t^2 +c,N(t) = e^(-k3t),N(t) = k3e^(k3t),N(t) = k3e^(-k3t)
Q002574,\(\frac{dN}{dt} =2N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = e^{t^2+2t+c}\),\(N(t) = e^{-\frac{5}{2}t^2+5t+c}\),\(N(t) = 4e^{4t}\),\(N(t) = 4e^{-t}\),A,A,8,7,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt =2N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = e^(t^2+2t+c),N(t) = e^(-5/2t^2+5t+c),N(t) = 4e^(4t),N(t) = 4e^(-t)
Q002575,\(\frac{dN}{dt} = 3N(t^2+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t)=e^{t^3-3t+c}\),\(N(t)=e^{t^3+3t+c}\),\(N(t)=e^{t^3-3t+c}\),\(N(t)=e^{-t^3-3t+c}\),B,B,8,7,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = 3N(t^2+1). Find an expression for N in terms of t. Which of the following is correct?,N(t)=e^(t^3-3t+c),N(t)=e^(t^3+3t+c),N(t)=e^(t^3-3t+c),N(t)=e^(-t^3-3t+c)
Q002576,"If \(f(x) = \int x^3 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^4}{4} + C\),\(F(x) = x^4 - 1\),\(F(x) = x^4 + C\),\(F(x) = \frac{x^4}{4} - C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,," If f(x) = ∫x^3 dx, what is the function f(x)?",F(x) = x^4/4 + C,F(x) = x^4 - 1,F(x) = x^4 + C,F(x) = x^4/4 - C
Q002577,"If \(f(x) = \int2x dx\), what is the function \(f(x)\)?",\(F(x) = 2x+ C\),\(F(x) = x^2 - C\),\(F(x) = x^2 + C\),\(F(x) = 2x - C\),C,C,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,," If f(x) = ∫2x dx, what is the function f(x)?",F(x) = 2x+ C,F(x) = x^2 - C,F(x) = x^2 + C,F(x) = 2x - C
Q002578,"If \(f(x) = \int x^2 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^3}{3} + C\),\(F(x) = x^3 - C\),\(F(x) = \frac{x^3}{3} - C\),\(F(x) = x^3 + C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫x^2 dx, what is the function f(x)?",F(x) = x^3/3 + C,F(x) = x^3 - C,F(x) = x^3/3 - C,F(x) = x^3 + C
Q002579,"If \(f(x) = \int3x dx\), what is the function \(f(x)\)?",\(F(x) = \frac{3x^2}{2} + C\),\(F(x) = 3x^2 - C\),\(F(x) = 3x + C\),\(F(x) = 3x - C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫3x dx, what is the function f(x)?",F(x) = 3x^2/2 + C,F(x) = 3x^2 - C,F(x) = 3x + C,F(x) = 3x - C
Q002580,"If \(f(x) = \int x dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^2}{2} + C\),\(F(x) = x^2 - C\),\(F(x) = x + C\),\(F(x) = x - C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫x dx, what is the function f(x)?",F(x) = x^2/2 + C,F(x) = x^2 - C,F(x) = x + C,F(x) = x - C
Q002581,"If \(f(x) = \int x^4 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^5}{5} + C\),\(F(x) = x^5 - C\),\(F(x) = \frac{x^5}{5} - C\),\(F(x) = x^5 + C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫x^4 dx, what is the function f(x)?",F(x) = x^5/5 + C,F(x) = x^5 - C,F(x) = x^5/5 - C,F(x) = x^5 + C
Q002582,"If \(f(x) = \int2x^3 dx\), what is the function \(f(x)\)?",\(F(x) = x^4 + C\),\(F(x) = \frac{x^4}{2} + C\),\(F(x) = \frac{2x^4}{4} - C\),\(F(x) = 2x^4 - C\),B,B,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,," If f(x) = ∫2x^3 dx, what is the function f(x)?",F(x) = x^4 + C,F(x) = x^4/2 + C,F(x) = 2x^4/4 - C,F(x) = 2x^4 - C
Q002583,"If \(f(x) = \int x^5 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^6}{6} + C\),\(F(x) = x^6 - C\),\(F(x) = \frac{x^6}{6} - C\),\(F(x) = x^6 + C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,," If f(x) = ∫x^5 dx, what is the function f(x)?",F(x) = x^6/6 + C,F(x) = x^6 - C,F(x) = x^6/6 - C,F(x) = x^6 + C
Q002584,"If \(f(x) = \int3x^2 dx\), what is the function \(f(x)\)?",\(F(x) = x^3 + C\),\(F(x) = \frac{3x^3}{3} + C\),\(F(x) = \frac{3x^3}{3} - C\),\(F(x) = 3x^3 - C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫3x^2 dx, what is the function f(x)?",F(x) = x^3 + C,F(x) = 3x^3/3 + C,F(x) = 3x^3/3 - C,F(x) = 3x^3 - C
Q002585,"If \(f(x) = \int x^3 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^4}{4} + C\),\(F(x) = x^4 - C\),\(F(x) = \frac{x^4}{4} - C\),\(F(x) = x^4 + C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫x^3 dx, what is the function f(x)?",F(x) = x^4/4 + C,F(x) = x^4 - C,F(x) = x^4/4 - C,F(x) = x^4 + C
Q002586,"If \(f(x) = \int2x^5 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^6}{3} + C\),\(F(x) = x^6 + C\),\(F(x) = \frac{2x^6}{6} - C\),\(F(x) = 2x^6 - C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫2x^5 dx, what is the function f(x)?",F(x) = x^6/3 + C,F(x) = x^6 + C,F(x) = 2x^6/6 - C,F(x) = 2x^6 - C
Q002587,"If \(f(x) = \int x^7 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^8}{8} + C\),\(F(x) = x^8 - C\),\(F(x) = \frac{x^8}{8} - C\),\(F(x) = x^8 + C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫x^7 dx, what is the function f(x)?",F(x) = x^8/8 + C,F(x) = x^8 - C,F(x) = x^8/8 - C,F(x) = x^8 + C
Q002588,"If \(f(x) = \int3x^4 dx\), what is the function \(f(x)\)?",\(F(x) = x^5 + C\),\(F(x) = \frac{3x^5}{5} + C\),\(F(x) = \frac{3x^5}{5} - C\),\(F(x) = 3x^5 - C\),B,B,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,," If f(x) = ∫3x^4 dx, what is the function f(x)?",F(x) = x^5 + C,F(x) = 3x^5/5 + C,F(x) = 3x^5/5 - C,F(x) = 3x^5 - C
Q002589,"If \(f(x) = \int x^6 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{x^7}{7} + C\),\(F(x) = x^7 - C\),\(F(x) = \frac{x^7}{7} - C\),\(F(x) = x^7 + C\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"If f(x) = ∫x^6 dx, what is the function f(x)?",F(x) = x^7/7 + C,F(x) = x^7 - C,F(x) = x^7/7 - C,F(x) = x^7 + C
Q002590,"If \(f(x) = \int2x^4 dx\), what is the function \(f(x)\)?",\(F(x) = x^5 + C\),\(F(x) = \frac{2x^5}{5} + C\),\(F(x) = \frac{2x^5}{5} - C\),\(F(x) = 2x^5 - C\),B,B,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,," If f(x) = ∫2x^4 dx, what is the function f(x)?",F(x) = x^5 + C,F(x) = 2x^5/5 + C,F(x) = 2x^5/5 - C,F(x) = 2x^5 - C
Q002591,Evaluate the integral \((x^3-2x^2+3x-1)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(\frac{51}{4}\),\(60\),\(\frac{53}{4}\),\(\frac{67}{4}\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^3-2x^2+3x-1) between x=0 and x=3. Which of the following is the correct answer?,51/4,60,53/4,67/4
Q002592,Evaluate the integral \((x^2-2x+2)\) between \(x=0\) and \(x=6\). Which of the following is the correct answer?,\(8\),\(38\),\(108\),\(48\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^2-2x+2) between x=0 and x=6. Which of the following is the correct answer?,8,38,108,48
Q002593,Evaluate the integral \((x^2-2x+7)\) between \(x=0\) and \(x=4\). Which of the following is the correct answer?,\(0\),\(\frac{16}{5}\),\(\frac{32}{3}\),\(\frac{100}{3}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^2-2x+7) between x=0 and x=4. Which of the following is the correct answer?,0,16/5,32/3,100/3
Q002594,Evaluate the integral \(x^3-x^2-x+1\) between \(x=0\) and \(x=2\). Which of the following is the correct answer?,\(\frac{2}{3}\),\(\frac{8}{3}\),\(\frac{5}{3}\),\(\frac{4}{3}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral x^3-x^2-x+1 between x=0 and x=2. Which of the following is the correct answer?,2/3,8/3,5/3,4/3
Q002595,Evaluate the integral \((x^5-2x^3+x)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(20\),\(22\),\(\frac{157}{2}\),\(\frac{171}{2}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^5-2x^3+x) between x=0 and x=3. Which of the following is the correct answer?,20,22,157/2,171/2
Q002596,Evaluate the integral \((x^3-3x^2+3x-1)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(0\),\(68\),\(\frac{15}{4}\),\(\frac{17}{4}\),C,C,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^3-3x^2+3x-1) between x=0 and x=3. Which of the following is the correct answer?,0,68,15/4,17/4
Q002597,Evaluate the integral \((x^4-x^3-x^2+x)\) between \(x=0\) and \(x=2\). Which of the following is the correct answer?,\(0\),\(\frac{72}{15}\),\(\frac{144}{15}\),\(\frac{26}{15}\),D,D,6,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^4-x^3-x^2+x) between x=0 and x=2. Which of the following is the correct answer?,0,72/15,144/15,26/15
Q002598,Evaluate the integral \((x^5-2x^4-4x^3+5x^2)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(-\frac{54}{10}\),\(60\),\(\frac{66}{10}\),\(-\frac{117}{10}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^5-2x^4-4x^3+5x^2) between x=0 and x=3. Which of the following is the correct answer?,-54/10,60,66/10,-117/10
Q002599,Evaluate the integral \((x^4-4x^2+4)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(\frac{27}{5}\),\(\frac{423}{5}\),\(\frac{127}{5}\),\(\frac{123}{5}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^4-4x^2+4) between x=0 and x=3. Which of the following is the correct answer?,27/5,423/5,127/5,123/5
Q002600,Evaluate the integral \((x^5-2x^4+x^3)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(0\),\(84\),\(\frac{169}{20}\),\(\frac{891}{20}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^5-2x^4+x^3) between x=0 and x=3. Which of the following is the correct answer?,0,84,169/20,891/20
Q002601,Evaluate the integral \((x^6-2x^4+x^3)\) between \(x=0\) and \(x=2\). Which of the following is the correct answer?,\(120\),\(\frac{126}{37}\),\(\frac{132}{35}\),\(\frac{332}{35}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^6-2x^4+x^3) between x=0 and x=2. Which of the following is the correct answer?,120,126/37,132/35,332/35
Q002602,Evaluate the integral \((x^4-4x^3+6x^2-4x+1)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(\frac{33}{5}\),\(\frac{153}{5}\),\(\frac{307}{5}\),\(\frac{456}{5}\),A,A,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^4-4x^3+6x^2-4x+1) between x=0 and x=3. Which of the following is the correct answer?,33/5,153/5,307/5,456/5
Q002603,Evaluate the integral \(x^6-x^5-5x^4+4x^3\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(0\),\(252\),\(\frac{405}{14}\),\(\frac{456}{3}\),C,C,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral x^6-x^5-5x^4+4x^3 between x=0 and x=3. Which of the following is the correct answer?,0,252,405/14,456/3
Q002604,Evaluate the integral \((x^6-x^5-x^4+x^2)\) between \(x=0\) and \(x=2\). Which of the following is the correct answer?,\(0\),\(\frac{136}{35}\),\(\frac{672}{34}\),\(1008\),B,B,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^6-x^5-x^4+x^2) between x=0 and x=2. Which of the following is the correct answer?,0,136/35,672/34,1008
Q002605,Evaluate the integral \((x^5-5x^3+5x)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(720\),\(730\),\(\frac{740}{7}\),\(\frac{171}{4}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (x^5-5x^3+5x) between x=0 and x=3. Which of the following is the correct answer?,720,730,740/7,171/4
Q002606,Evaluate the integral \((-2x^5+x^4)\) between \(x=0\) and \(x=3\). Which of the following is the correct answer?,\(0\),\(1008\),\(\frac{958}{5}\),\(-\frac{972}{5}\),D,D,6,5,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,Evaluate the integral (-2x^5+x^4) between x=0 and x=3. Which of the following is the correct answer?,0,1008,958/5,-972/5
Q002607,"The graph of a function \(f\) passes through the point \((2, 6)\). If \(f(x) = \int4x^3 dx\), what is the function \(f(x)\)?",\(F(x) = x^4 + 8\),\(F(x) = x^4 -10\),\(F(x) = 8x + 6\),\(F(x) = x^4 + 4\),B,B,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"The graph of a function f passes through the point (2, 6). If f(x) = ∫4x^3 dx, what is the function f(x)?",F(x) = x^4 + 8,F(x) = x^4 -10,F(x) = 8x + 6,F(x) = x^4 + 4
Q002608,"The graph of a function \(f\) passes through the point \((-1, 2)\). If \(f(x) = \int-5x^2 dx\), what is the function \(f(x)\)?",\(F(x) = -\frac{5}{3} x^3 + C\),\(F(x) = -5x^3 - C\),\(F(x) = -10x + 2\),\(F(x) = -\frac{5}{3} x^3 - C\),A,A,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"The graph of a function f passes through the point (-1, 2). If f(x) = ∫-5x^2 dx, what is the function f(x)?",F(x) = -5/3 x^3 + C,F(x) = -5x^3 - C,F(x) = -10x + 2,F(x) = -5/3 x^3 - C
Q002609,"The graph of a function \(f\) passes through the point \((0, 4)\). If \(f(x) = \int6x dx\), what is the function \(f(x)\)?",\(F(x) = 3x^2 + 4\),\(F(x) = 3x^2 - 4\),\(F(x) = 6x + 4\),\(F(x) = 3x^2 + 8\),A,A,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"The graph of a function f passes through the point (0, 4). If f(x) = ∫6x dx, what is the function f(x)?",F(x) = 3x^2 + 4,F(x) = 3x^2 - 4,F(x) = 6x + 4,F(x) = 3x^2 + 8
Q002610,"The graph of a function \(f\) passes through the point \((2, 3)\). If \(f(x) = \int2x^2 dx\), what is the function \(f(x)\)?",\(F(x) = \frac{2}{3}x^3 -\frac{7}{3}\),\(F(x) = x^3 - 1\),\(F(x) = 4x + 3\),\(F(x) = x^3 + 5\),A,A,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"The graph of a function f passes through the point (2, 3). If f(x) = ∫2x^2 dx, what is the function f(x)?",F(x) = 2/3x^3 -7/3,F(x) = x^3 - 1,F(x) = 4x + 3,F(x) = x^3 + 5
Q002611,"The graph of a function \(f\) passes through the point \((-2, 7)\). If \(f(x) = \int-x^3 dx\), what is the function \(f(x)\)?",\(F(x) = -\frac{1}{4}x^4 - 7\),\(F(x) = -\frac{1}{4}x^4 + 11\),\(F(x) = -x^2 + 7\),\(F(x) = -\frac{1}{4}x^4 - 5\),B,B,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"The graph of a function f passes through the point (-2, 7). If f(x) = ∫-x^3 dx, what is the function f(x)?",F(x) = -1/4x^4 - 7,F(x) = -1/4x^4 + 11,F(x) = -x^2 + 7,F(x) = -1/4x^4 - 5
Q002612,"By part, integrate \(x^3\cos(x) dx\) with respect to \(x\). Which of the following are correct?",\(\int x^3\cos(x) dx = x^3\sin(x) - 3 \int x^2\sin(x) dx + C\),\(\int x^3\cos(x) dx = x^3\sin(x) + 3 \int x^2\sin(x) dx + C\),\(\int x^3\cos(x) dx = x^3\cos(x) - 3 \int x^2\cos(x) dx + C\),\(\int x^3\cos(x) dx = x^3\cos(x) + 3 \int x^2\cos(x) dx + C\),A,A,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,"By part, integrate x^3cos(x) dx with respect to x. Which of the following are correct?",∫x^3cos(x) dx = x^3sin(x) - 3 ∫x^2sin(x) dx + C,∫x^3cos(x) dx = x^3sin(x) + 3 ∫x^2sin(x) dx + C,∫x^3cos(x) dx = x^3cos(x) - 3 ∫x^2cos(x) dx + C,∫x^3cos(x) dx = x^3cos(x) + 3 ∫x^2cos(x) dx + C
Q002613,\(\frac{dN}{dt} = \frac{1}{4} *N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = e^{\frac{1}{8}t^2+\frac{1}{4}t+c}\),\(N(t) = 4e^{-\frac{1}{8}t^2+\frac{1}{4}t+c}\),\(N(t) = \frac{e^{4t+t}}{4}+c\),\(N(t) = \frac{e^{-4t-t}}{4}+c\),A,A,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = 1/4 *N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = e^(1/8t^2+1/4t+c),N(t) = 4e^(-1/8t^2+1/4t+c),N(t) = e^(4t+t)/4+c,N(t) = e^(-4t-t)/4+c
Q002614,\(\frac{dN}{dt} = 5 *N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = 5e^{5t} +c\),\(N(t) = e^{\frac{5}{2}t^2+5t+c}\),\(N(t) = \frac{e^{5t^2+t+c}}{5}\),\(N(t) = \frac{e^{5t^2-t+c}}{5}\),B,B,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = 5 *N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = 5e^(5t) +c,N(t) = e^(5/2t^2+5t+c),N(t) = e^(5t^2+t+c)/5,N(t) = e^(5t^2-t+c)/5
Q002615,\(\frac{dN}{dt} = 6 *N(t+1)\). Find an expression for \(N\) in terms of \(t\). Which of the following is correct?,\(N(t) = e^{-3t^2-3t+c}\),\(N(t) = e^{3t^2-6t+c}\),\(N(t) = e^{3t^2+6t+c}\),\(N(t) = e^{-3t^2-6t+c}\),C,C,7,6,yes,,Integration,Integration - Standard indefinite integration,,,,,,,,,Integration,Integration - Standard indefinite integration,,,,,DN/dt = 6 *N(t+1). Find an expression for N in terms of t. Which of the following is correct?,N(t) = e^(-3t^2-3t+c),N(t) = e^(3t^2-6t+c),N(t) = e^(3t^2+6t+c),N(t) = e^(-3t^2-6t+c)
